Data operacji;Data waluty;Typ transakcji;Kwota;Waluta;Lokalizacja
2018-01-01;2017-12-30;Płatność kartą;-2.5;PLN;Lokalizacja:     ZABKA Z5902 K.1
2018-01-01;2017-12-30;Płatność kartą;-5.09;PLN;Lokalizacja:     CARREFOUR
2018-01-06;2018-01-04;Płatność kartą;-11.23;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-01-07;2018-01-05;Płatność kartą;-14;PLN;Lokalizacja:     Top Market
2018-01-13;2018-01-11;Płatność kartą;-7;PLN;Lokalizacja:     ASEC Metro Slodowiec Pn T
2018-01-14;2018-01-12;Płatność kartą;-17.05;PLN;Lokalizacja:     Top Market
2018-01-15;2018-01-14;Płatność kartą;-167.05;PLN;Lokalizacja:     ORLEN 35
2018-01-18;2018-01-16;Płatność kartą;-7.34;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-01-20;2018-01-19;Płatność kartą;-3.3;PLN;Lokalizacja:     1-MINUTE 21
2018-01-20;2018-01-19;Płatność kartą;-8;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-01-21;2018-01-19;Płatność kartą;-40.56;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-01-21;2018-01-19;Płatność kartą;-6.64;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-01-22;2018-01-21;Płatność kartą;-11.5;PLN;Lokalizacja:     McDonalds W-wa Dolinka
2018-01-22;2018-01-20;Płatność kartą;-25;PLN;Lokalizacja:     MIASTO STOLECZNE  
2018-01-23;2018-01-21;Płatność kartą;-10.3;PLN;Lokalizacja:     BUFETY STOLOWKI
2018-01-23;2018-01-21;Płatność kartą;-0.8;PLN;Lokalizacja:     BUFETY STOLOWKI
2018-01-24;2018-01-23;Płatność kartą;-33.31;PLN;Lokalizacja:     Leroy Merlin   A
2018-01-24;2018-01-22;Płatność kartą;-45.76;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-01-25;2018-01-24;Płatność kartą;-11;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-01-26;2018-01-24;Płatność kartą;-5.18;PLN;Lokalizacja:     Top Market
2018-01-26;2018-01-24;Płatność kartą;-8.81;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-01-28;2018-01-26;Płatność kartą;-2;PLN;Lokalizacja:     POL-JAP tech. komp.
2018-01-28;2018-01-26;Płatność kartą;-18;PLN;Lokalizacja:     BUFETY STOLOWKI
2018-01-28;2018-01-26;Płatność kartą;-0.5;PLN;Lokalizacja:     SPP   2
2018-01-29;2018-01-26;Płatność kartą;-4;PLN;Lokalizacja:     SPP   3
2018-01-31;2018-01-31;Opłata;-6.9;PLN;
2018-02-01;2018-01-31;Płatność kartą;-6;PLN;Lokalizacja:     McDonalds 247 W-wa 33 G
2018-02-02;2018-02-01;Płatność kartą;-322.1;PLN;Lokalizacja:  Piaseczno  ORLEN 01
